gpu,1080p Ultra,1080p Medium,1440p Ultra,4K Ultra,Specifications (Links to Review)
Radeon RX 570 4GB,28.1,53.6,19.9,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-570-4gb,5028.html"
GeForce GTX 1650,27.0,51.3,0.0,0.0,"https://www.tomshardware.com/reviews/geforce-gtx-1650-turing-gpu,6096.html"
GeForce GTX 970,26.5,49.0,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-980-970-maxwell,3941.html"
Radeon RX 6400,24.1,51.1,0.0,0.0,https://www.tomshardware.com/reviews/amd-radeon-rx-6400-review-budget-in-almost-every-way
GeForce GTX 1050 Ti,19.8,38.0,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1050-ti,4787.html"
GeForce GTX 1060 3GB,0.0,52.5,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1060-graphics-card-roundup,4724.html"
GeForce GTX 1630,16.9,33.8,0.0,0.0,https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1630-review
Radeon RX 560 4GB,14.7,31.7,0.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-560-4gb,5254.html"
GeForce GTX 1050,0.0,29.7,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gtx-1050-ti,4787.html"
Radeon RX 550 4GB,0.0,19.5,0.0,0.0,"https://www.tomshardware.com/reviews/amd-radeon-rx-550-2gb,5034.html"
GeForce GT 1030,0.0,14.6,0.0,0.0,"https://www.tomshardware.com/reviews/nvidia-geforce-gt-1030-2gb,5110.html"
