,name,price,type,efficiency,wattage,modular,color
1359,Enermax MaxTytan,36999.0,ATX,titanium,1050,Full,
1366,Athena Power AP-MFATX50P8,13699.0,Flex ATX,silver,500,False,
1367,Athena Power AP-MFATX40P8,11785.0,Flex ATX,bronze,400,False,
1369,Antec NeoECO V2,9149.0,ATX,bronze,550,Semi,Black
1370,Silverstone SFX,7398.0,SFX,bronze,300,False,Black
1426,Cooler Master eXtreme Power Plus,9995.0,ATX,,500,False,
1429,Fractal Design Anode Bronze,19400.0,ATX,bronze,550,Semi,Black
1430,Antec Earthwatts Green,10811.0,ATX,plus,500,False,
1431,Antec True Power,28681.0,ATX,bronze,850,Full,
1471,Fractal Design Anode Bronze,15569.0,ATX,bronze,750,Semi,Black
1519,SeaSonic SS-850HT Silver,16900.0,ATX,silver,850,False,
1532,Antec High Current Pro,26900.0,ATX,platinum,1000,Full,
1547,Corsair TX750 V2,38498.0,ATX,bronze,750,False,
1557,In Win IP-S300FF1-0,6269.0,TFX,plus,300,False,
1677,Topower ZU-550W,6100.0,ATX,,550,False,
1678,SeaSonic SS-600ES,10000.0,ATX,bronze,600,False,Gray
1679,Cooler Master eXtreme Power Plus,9995.0,ATX,,500,False,
1681,FSP Group FSP300-60LG-5K,15374.0,Flex ATX,bronze,300,False,
1746,SeaSonic SS-400ET Bronze,9800.0,ATX,bronze,400,False,
1747,Rosewill Green,8000.0,ATX,plus,430,False,
1748,Antec Basiq,8834.0,ATX,,350,False,
1814,Corsair TX850 V2,59999.0,ATX,bronze,850,False,
1849,Sparkle ATX-300PA,18809.0,ATX,,300,False,
1949,Antec Earthwatts,12498.0,ATX,bronze,500,False,
2062,Antec High Current Gamer,24999.0,ATX,bronze,400,False,
2063,SeaSonic Platinum,12804.0,ATX,bronze,600,False,
2064,Apex AL-A400ATX,8000.0,ATX,,400,False,
2223,StarTech ATX2PW500PRO,16775.0,ATX,,500,False,
2224,FSP Group FSP300-60SGV,7998.0,TFX,gold,300,False,
