name,price,socket,form_factor,max_memory,memory_slots,color
ECS G31T-M7,16995.0,LGA775,Micro ATX,4,2,Multicolor
Asus WS X299 SAGE,52354.0,LGA2066,SSI CEB,128,8,Black
Gigabyte GA-Z270MX-Gaming 5,203565.0,LGA1151,Micro ATX,64,4,Black / Silver
Asus ROG MAXIMUS XI GENE,54349.0,LGA1151,Micro ATX,64,2,Black
ASRock B460M-HDV,18900.0,LGA1200,Micro ATX,64,2,Black
ASRock X299 WSI/IPMI,27769.0,LGA2066,Mini ITX,64,4,Black / Silver
MSI MEG Z490 GODLIKE,78770.0,LGA1200,EATX,128,4,Black / Silver
ASRock Z590 Phantom Gaming-ITX/TB4,21099.0,LGA1200,Mini ITX,64,2,Black / Red
ASRock C246 WS,29999.0,LGA1151,ATX,64,4,Green / Blue
MSI MEG Z590 GODLIKE,43499.0,LGA1200,EATX,128,4,Black / Silver
EVGA X299 DARK,43867.0,LGA2066,EATX,64,4,Black / Silver
Asus ROG MAXIMUS XII EXTREME,95000.0,LGA1200,EATX,128,4,Black
ASRock X299 Steel Legend,45108.0,LGA2066,ATX,256,8,Silver / Black
Biostar H610MH,11019.0,LGA1700,Micro ATX,64,2,Gray / Black
Asus PRIME H510M-A/CSM,16900.0,LGA1200,Micro ATX,64,2,Black / Silver
Gigabyte Z590 AORUS XTREME,84848.0,LGA1200,EATX,128,4,Black
EVGA X299 MICRO ATX 2,29999.0,LGA2066,Micro ATX,64,4,Black / Silver
Asus PRIME H510M-D,22700.0,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B460M Steel Legend,20224.0,LGA1200,Micro ATX,128,4,Black / Silver
Supermicro MBD-X11SSM-F-O,26999.0,LGA1151,Micro ATX,64,4,Green
ASRock H610M-ITX/eDP,15303.0,LGA1700,Mini ITX,64,2,Silver / Black
Supermicro X11SCL-LN4F,49310.0,LGA1151,Micro ATX,128,4,Green
ASRock Fatal1ty AB350 Gaming K4,20786.0,AM4,ATX,64,4,Black / Red
ASRock H310CM-HDV/M.2,21316.0,LGA1151,Micro ATX,32,2,Black
Supermicro C9X299-PG300F,92924.0,LGA2066,ATX,256,8,Black
MSI MAG Z590 TORPEDO,16129.0,LGA1200,ATX,128,4,Black / Blue
Gigabyte Z490 UD AC,21412.0,LGA1200,ATX,128,4,Black / Silver
ASRock Z690 PG Velocita,35200.0,LGA1700,ATX,128,4,Silver / Black
MSI B560M PRO WIFI,19900.0,LGA1200,Micro ATX,64,2,Black
Gigabyte Z490 AORUS ULTRA,39999.0,LGA1200,ATX,128,4,Black / Silver
ASRock X470 Master SLI,40509.0,AM4,ATX,64,4,Black
Supermicro X10SLL-F,32011.0,LGA1150,Micro ATX,32,4,Black / Green
Asus ROG Maximus XIII Apex,64999.0,LGA1200,ATX,64,2,Black
Supermicro MBD-X11SCV-Q-O,34999.0,LGA1151,Mini ITX,64,2,Green / Black
Asus WS X299 PRO,51700.0,LGA2066,ATX,128,8,Black / Silver
Supermicro C7X99-OCE-O,70000.0,LGA2011-3,ATX,128,8,Black / Blue
Gigabyte Q670M D3H,17999.0,LGA1700,Micro ATX,128,4,Brown / Gray
ASRock Z490 Steel Legend,24431.0,LGA1200,ATX,128,4,Black / Silver
ASRock X470D4U2-2T,44799.0,AM4,Micro ATX,64,4,Green
Biostar Z690A VALKYRIE,25000.0,LGA1700,ATX,128,4,Black / Gray
Gigabyte GA-X58A-UD7,51500.0,LGA1366,ATX,24,6,Blue / White
ASRock Z490 Taichi,65437.0,LGA1200,ATX,128,4,Black / Gold
Biostar Z690 VALKYRIE,86565.0,LGA1700,ATX,128,4,Black / Gray
ASRock X370 Killer SLI,21999.0,AM4,ATX,64,4,Black / White
Supermicro X9SRA,57630.99999999999,LGA2011,ATX,64,8,Black / Green
Asus PRIME H410M-D,15000.0,LGA1200,Micro ATX,64,2,Black
EVGA Z590 DARK,79900.0,LGA1200,EATX,64,2,Black
Supermicro X9SRI-F-O,54899.0,LGA2011,ATX,64,8,Green
Supermicro C9Z490-PGW,51099.0,LGA1200,ATX,128,4,Black
Asus PRO Q570M-C/CSM,12709.0,LGA1200,Micro ATX,128,4,Green / Black
Supermicro MBD-X11SAE-F-O,38515.0,LGA1151,ATX,64,4,Black / Green
ASRock H570M Pro4,18472.0,LGA1200,Micro ATX,128,4,Silver / Black
Biostar A880G+,14999.0,AM3,Micro ATX,8,2,Black / Red
Asus M2N68-AM PLUS,24999.0,AM3/AM2+/AM2,Micro ATX,8,2,Multicolor
Supermicro MBD-X11SSH-LN4F,34900.0,LGA1151,Micro ATX,64,4,Green / Black
ASRock Z490 PG Velocita,26532.0,LGA1200,ATX,128,4,Black / Silver
ASRock Z590 Taichi,45686.0,LGA1200,ATX,128,4,Black / Silver
Supermicro X10SLM-F-O,32820.0,LGA1150,Micro ATX,32,4,Black / Green
ASRock X370 GAMING X,29999.0,AM4,ATX,64,4,Black / Red
Supermicro X9SRH-7TF,79499.0,LGA2011,ATX,64,8,Green / Blue
Intel D525MW,15251.0,Integrated Atom D525,Mini ITX,4,2,Green / Black
Gigabyte Z590 AORUS TACHYON,34113.0,LGA1200,EATX,64,2,Black
Asus Crosshair IV Extreme,50995.0,AM3,EATX,16,4,Black / Red
Biostar Z590GTA,19999.0,LGA1200,ATX,128,4,Blue / Black
Gigabyte H470 AORUS PRO AX,24999.0,LGA1200,ATX,128,4,Black / Silver
Biostar B660MX-E,22500.0,LGA1700,Micro ATX,64,2,Gray / Black
Supermicro C9Z390-CG-IW,59500.0,LGA1151,Mini ITX,64,2,Black
ASRock Z270 Killer SLI,171960.0,LGA1151,ATX,64,4,Black / White
Supermicro A1SRI-2758F-O,43699.0,Integrated Atom C2358,Mini ITX,16,2,Black / Green
Gigabyte Z490 AORUS XTREME,70786.0,LGA1200,EATX,128,4,Black / Silver
Supermicro X10SL7-F,22468.0,LGA1150,Micro ATX,32,4,Black / Green
Intel D410PT,30000.0,Integrated Atom D410,Mini ITX,4,2,Green / Black
EVGA Z490 DARK K|NGP|N,48599.0,LGA1200,EATX,64,2,Black / Yellow
Biostar A780L3B,20998.0,AM3,Micro ATX,16,2,Black / Red
Biostar A880GU3,24999.0,AM3,Micro ATX,8,2,Black / Red
