name,price,socket,form_factor,max_memory,memory_slots,color
MSI MAG B760 TOMAHAWK WIFI DDR4,18999.0,LGA1700,ATX,128,4,Black
Asus ROG CROSSHAIR X670E EXTREME,99999.0,AM5,EATX,128,4,Black / Silver
Asus ROG STRIX X670E-F GAMING WIFI,41999.0,AM5,ATX,128,4,Black / Silver
Asus PRIME B760-PLUS D4,14399.0,LGA1700,ATX,128,4,Silver / Black
ASRock B660 Steel Legend,11999.0,LGA1700,ATX,128,4,Silver / Black
MSI MPG Z790I EDGE WIFI,35099.0,LGA1700,Mini ITX,64,2,Silver / Black
ASRock H470M-HDV/M.2,8682.0,LGA1200,Micro ATX,64,2,Black / Silver
NZXT N7 Z790,29999.0,LGA1700,ATX,128,4,Black
MSI MEG X570 UNIFY,24599.0,AM4,ATX,128,4,Black
Gigabyte Z790 UD AX,17999.0,LGA1700,ATX,128,4,Black
Gigabyte B660M AORUS Pro AX DDR4,10999.0,LGA1700,Micro ATX,128,4,Black
ASRock B650M Pro RS,13999.0,AM5,Micro ATX,128,4,Black / Silver
MSI MPG B560I GAMING EDGE WIFI,16999.0,LGA1200,Mini ITX,64,2,Black
MSI PRO Z690-A WIFI,19800.0,LGA1700,ATX,128,4,Black / Silver
Asus ProArt X670E-CREATOR WIFI,40499.0,AM5,ATX,128,4,Black / Copper
MSI MAG Z790 TOMAHAWK WIFI DDR4,24499.0,LGA1700,ATX,128,4,Black
MSI PRO A620M-E,8495.0,AM5,Micro ATX,64,2,Black
Asus ProArt Z790-CREATOR WIFI,41999.0,LGA1700,ATX,128,4,Black / Copper
Asus PRIME H510M-K,11950.0,LGA1200,Micro ATX,64,2,Black / Silver
ASRock Z790M-ITX WIFI,18999.0,LGA1700,Mini ITX,64,2,Black
MSI B450M-A PRO MAX,7598.999999999999,AM4,Micro ATX,32,2,Black
ASRock B650 PRO RS,20357.0,AM5,ATX,128,4,Black / Silver
ASRock A520M-HVS,8520.0,AM4,Micro ATX,64,2,Black / Silver
ASRock B450M/AC,9401.0,AM4,Micro ATX,64,4,Black
ASRock B760M PG Riptide,13999.0,LGA1700,Micro ATX,128,4,Black / Blue
Asus PRIME B450M-K II,9949.0,AM4,Micro ATX,64,2,Black
Asus ROG STRIX Z790-H GAMING WIFI,29999.0,LGA1700,ATX,128,4,Black
Gigabyte B660M AORUS ELITE AX DDR4,10999.0,LGA1700,Micro ATX,128,4,Black
Asus ROG STRIX B660-I GAMING WIFI,25914.0,LGA1700,Mini ITX,64,2,Black / Silver
Asus ROG Strix X570-I Gaming,37187.0,AM4,Mini ITX,64,2,Black
Gigabyte B550 UD AC,10999.0,AM4,ATX,128,4,Brown / Black
Asus ROG STRIX B660-A GAMING WIFI D4,28283.999999999996,LGA1700,ATX,128,4,Silver / Black
Asus PRIME H610I-PLUS D4-CSM,10999.0,LGA1700,Mini ITX,64,2,Silver / Black
Asus TUF GAMING B760M-PLUS WIFI D4,17999.0,LGA1700,Micro ATX,128,4,Black / Orange
MSI A320M-A PRO,7881.0,AM4,Micro ATX,64,2,Black
ASRock Fatal1ty B450 Gaming-ITX/ac,14563.0,AM4,Mini ITX,64,2,Black / Silver
MSI MPG B760I EDGE WIFI,21995.0,LGA1700,Mini ITX,64,2,Black / Silver
Asus PRIME Z690-P WIFI,21999.0,LGA1700,ATX,128,4,Silver / Black
MSI B450 Gaming Plus MAX,15500.0,AM4,ATX,128,4,Red / Black
ASRock B650M PG RIPTIDE,16999.0,AM5,Micro ATX,128,4,Black
ASRock Z790 PRO RS WIFI,19499.0,LGA1700,ATX,128,4,Silver / Black
ASRock B650E PG RIPTIDE WIFI,23999.0,AM5,ATX,128,4,Black / Blue
Gigabyte Z790 GAMING X AX,22999.0,LGA1700,ATX,128,4,Black
Asus PRIME Z790-P WIFI D4,22999.0,LGA1700,ATX,128,4,Black / Silver
Gigabyte B760M GAMING X AX DDR4,14999.0,LGA1700,Micro ATX,128,4,Black
Gigabyte B450M DS3H,17499.0,AM4,Micro ATX,128,4,Black / Silver
Gigabyte Z690 AORUS ELITE AX DDR4,19113.0,LGA1700,ATX,128,4,Black / Silver
Asus ROG STRIX Z790-I GAMING WIFI,43384.0,LGA1700,Mini ITX,96,2,Black
ASRock X670E PG Lightning,25999.0,AM5,ATX,128,4,Black
MSI PRO Z790-P WIFI DDR4,21999.0,LGA1700,ATX,128,4,Black / Silver
ASRock X570 Steel Legend,14599.0,AM4,ATX,128,4,Black / Silver
Gigabyte X670E AORUS MASTER (rev. 1.0),48999.0,AM5,EATX,128,4,Black / Silver
MSI MEG X670E GODLIKE,128393.0,AM5,EATX,128,4,Black
Asus TUF GAMING Z790-PLUS WIFI D4,24999.0,LGA1700,ATX,128,4,Black
Gigabyte Z790 AORUS MASTER,45999.0,LGA1700,EATX,128,4,Black / Silver
Gigabyte Z790 AERO G,27999.0,LGA1700,ATX,128,4,
ASRock B650E PG-ITX WIFI,28999.0,AM5,Mini ITX,64,2,Black / Red
NZXT N7 B650E,31699.0,AM5,ATX,128,4,Black
ASRock B650 PG LIGHTNING,19299.0,AM5,ATX,128,4,Black
