name,price,price_per_gb,color,first_word_latency,cas_latency,speed_num,speed_value,modules_num,modules_value
G.Skill Ripjaws V 16 GB,4199.0,262.40000000000003,Black,10.0,18.0,4,3600,2,8
Corsair Vengeance RGB Pro 32 GB,11499.0,359.3,White,10.0,16.0,4,3200,4,8
Corsair Vengeance RGB Pro 64 GB,20499.0,320.3,Black,10.0,18.0,4,3600,4,16
TEAMGROUP Elite 16 GB,3599.0,224.9,Black,16.667,40.0,5,4800,2,8
G.Skill Trident Z RGB 16 GB,5699.0,356.2,Black,10.0,16.0,4,3200,2,8
Corsair Vengeance LPX 16 GB,5483.0,342.7,Black / Yellow,8.889,16.0,4,3600,2,8
Corsair Vengeance LPX 32 GB,7998.999999999999,250.0,Black / Yellow,10.0,18.0,4,3600,4,8
TEAMGROUP T-Force Vulcan 32 GB,7998.0,249.9,Black,12.667,38.0,5,6000,2,16
Corsair Vengeance LPX 16 GB,4999.0,312.40000000000003,Black / Yellow,10.0,15.0,4,3000,2,8
Corsair Vengeance RGB Pro 16 GB,6998.0,437.4,White,10.0,18.0,4,3600,2,8
Crucial CT2K16G48C40U5 32 GB,8098.0,253.10000000000002,Black,16.667,40.0,5,4800,2,16
Corsair Vengeance RGB 32 GB,17499.0,546.8,Black,9.444,34.0,5,7200,2,16
G.Skill Trident Z RGB 128 GB,29999.0,234.39999999999998,Black,10.0,18.0,4,3600,4,32
Corsair Vengeance RGB 32 GB,13999.0,437.5,White,11.613,36.0,5,6200,2,16
Corsair Vengeance 32 GB,9999.0,312.5,Black,12.0,36.0,5,6000,2,16
Kingston FURY Beast RGB 16 GB,5999.0,374.90000000000003,Black,9.444,17.0,4,3600,2,8
Corsair Dominator Platinum RGB 32 GB,13050.0,407.8,Black,12.857,36.0,5,5600,2,16
Kingston FURY Beast 32 GB,9999.0,312.5,Black,12.857,36.0,5,5600,2,16
Kingston ValueRAM 4 GB,999.0,249.8,Green,13.75,22.0,4,3200,1,4
Silicon Power SP016GLLTU160N22 16 GB,1599.0,99.9,Green,13.75,11.0,3,1600,2,8
G.Skill Ripjaws S5 32 GB,14349.0,448.4,White,10.0,28.0,5,5600,2,16
TEAMGROUP T-Create Classic 32 GB,5199.0,162.5,Silver,13.75,22.0,4,3200,2,16
Kingston FURY Beast 16 GB,7198.0,449.9,Black / Silver,12.0,36.0,5,6000,2,8
G.Skill Trident Z5 RGB 32 GB,11999.0,375.0,Silver / Black,10.0,32.0,5,6400,2,16
TEAMGROUP T-Force Vulcan Z 16 GB,3399.0,212.4,Gray,10.0,16.0,4,3200,2,8
Silicon Power XPOWER Zenith Gaming 16 GB,3197.0,199.8,Black / Silver,10.0,16.0,4,3200,2,8
Corsair Vengeance 64 GB,20499.0,320.3,Gray,13.333,40.0,5,6000,2,32
Crucial CT2K16G4DFRA32A 32 GB,5699.0,178.1,Green / Black,13.75,22.0,4,3200,2,16
Kingston FURY Beast RGB 32 GB,8163.0,255.10000000000002,Black,10.0,16.0,4,3200,2,16
Corsair Vengeance LPX 16 GB,4799.0,299.90000000000003,White,10.0,16.0,4,3200,2,8
Kingston HyperX Fury 8 GB,8996.0,1124.5,Black,12.003,16.0,4,2666,1,8
Kingston FURY Beast 16 GB,5498.0,343.6,Black,9.444,17.0,4,3600,2,8
TEAMGROUP T-Force Delta RGB 32 GB,6698.0,209.3,Black,10.0,16.0,4,3200,2,16
Corsair Vengeance 32 GB,10999.0,343.7,Gray,12.857,36.0,5,5600,2,16
TEAMGROUP T-Force Delta RGB 32 GB,8699.0,271.8,Black,11.429,32.0,5,5600,2,16
G.Skill Aegis 16 GB,3699.0,231.2,Black / Red,10.667,16.0,4,3000,2,8
TEAMGROUP T-Force Delta RGB 32 GB,26999.0,843.6999999999999,Black / Silver,9.5,38.0,5,8000,2,16
Corsair Vengeance RGB Pro SL 32 GB,7998.0,249.9,Black,10.0,18.0,4,3600,2,16
Corsair Vengeance RGB Pro 64 GB,14499.0,226.5,Black,10.0,16.0,4,3200,2,32
ADATA XPG GAMMIX D45 16 GB,5053.0,315.8,Black,10.0,16.0,4,3200,2,8
Corsair Vengeance LPX 32 GB,9999.0,312.5,Black / Yellow,8.889,16.0,4,3600,2,16
Corsair Vengeance 64 GB,28999.0,453.09999999999997,Black / Gray,9.697,32.0,5,6600,4,16
TEAMGROUP Elite 32 GB,6998.0,218.7,Black,16.667,40.0,5,4800,2,16
G.Skill Trident Z5 Neo RGB 32 GB,11499.0,359.3,Black,10.0,28.0,5,5600,2,16
Corsair Dominator Platinum RGB 32 GB,21999.0,687.5,Black,9.474,36.0,5,7600,2,16
Silicon Power XPOWER Zenith RGB Gaming 32 GB,8297.0,259.3,White,13.333,40.0,5,6000,2,16
TEAMGROUP T-Force Delta RGB 64 GB,17999.0,281.2,White / Silver,12.667,38.0,5,6000,2,32
G.Skill Trident Z RGB 32 GB,7998.999999999999,250.0,Black,10.0,18.0,4,3600,2,16
G.Skill Trident Z Neo 16 GB,7298.0,456.1,Black / Silver,8.889,16.0,4,3600,2,8
Patriot Viper Black 16 GB,6199.0,387.40000000000003,Black / White,13.846,36.0,5,5200,2,8
G.Skill Ripjaws V 64 GB,12999.0,203.10000000000002,Black,10.0,16.0,4,3200,4,16
Corsair Vengeance LPX 32 GB,8999.0,281.2,Black / Yellow,10.0,18.0,4,3600,2,16
G.Skill Ripjaws V 32 GB,10467.0,327.09999999999997,Black,8.636,19.0,4,4400,2,16
G.Skill Ripjaws S5 32 GB,10899.0,340.6,Black,10.0,30.0,5,6000,2,16
Silicon Power XPOWER Zenith RGB Gaming 32 GB,5899.0,184.3,Black,10.0,16.0,4,3200,2,16
G.Skill Trident Z5 RGB 32 GB,11499.0,359.3,Black,10.0,30.0,5,6000,2,16
G.Skill Ripjaws S5 64 GB,21799.0,340.6,Black,10.0,32.0,5,6400,2,32
Kingston FURY Beast RGB 64 GB,24999.0,390.6,Black,12.0,36.0,5,6000,2,32
Timetec PINNACLE Konduit 32 GB,5399.0,168.70000000000002,White,10.0,16.0,4,3200,2,16
G.Skill Trident Z5 RGB 64 GB,21799.0,340.6,White / Black,10.0,30.0,5,6000,2,32
Corsair Vengeance RGB Pro SL 64 GB,19999.0,312.5,White,10.0,18.0,4,3600,4,16
G.Skill Ripjaws 8 GB,3023.0,377.9,Black / Red,11.25,9.0,3,1600,2,4
TEAMGROUP T-Create Expert 16 GB,3099.0,193.70000000000002,Gray,10.0,16.0,4,3200,2,8
Corsair Vengeance 64 GB,18999.0,296.9,Gray,13.333,40.0,5,6000,2,32
G.Skill Flare X5 32 GB,9799.0,306.2,Black,10.714,30.0,5,5600,2,16
Corsair Vengeance 32 GB,9799.0,306.2,Black,16.667,40.0,5,4800,2,16
G.Skill Ripjaws S5 32 GB,10499.0,328.1,Black,10.667,32.0,5,6000,2,16
G.Skill Trident Z5 Neo 32 GB,11299.0,353.1,Black,10.0,28.0,5,5600,2,16
G.Skill Trident Z5 RGB 64 GB,20999.0,328.1,White / Black,10.0,28.0,5,5600,2,32
Corsair Vengeance RGB RT 32 GB,14999.0,468.70000000000005,Black,7.826,18.0,4,4600,2,16
Crucial Pro 32 GB,9499.0,296.8,Black,16.429,46.0,5,5600,2,16
Kingston FURY Renegade 16 GB,5895.0,368.40000000000003,Black / Silver,8.889,16.0,4,3600,2,8
ADATA XPG LANCER RGB 32 GB,10999.0,343.7,Black,13.333,40.0,5,6000,2,16
