gpu,memory,core_clock,boost_clock,boost_clock,length,rating,architecture,year,power_consumption,average_price
Radeon HD 3450,0.5,600.0,,,,0.31,TeraScale,2007,25,
Quadro 6000,6.0,,,,,6.98,Fermi,2010,204,
GeForce GTX 680,4.0,1084.0,,,266.0,14.49,Kepler,2012,195,
Radeon HD 7750,1.0,,,,170.0,4.4,GCN 1.0,2012,55,
GeForce GTX 780,3.0,863.0,,,266.0,20.82,Kepler,2013,250,
GeForce GT 730,2.0,700.0,,,167.0,2.16,Fermi,2014,49,
GeForce RTX 2080 Ti,11.0,1350.0,1755.0,1755.0,268.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 570,8.0,1168.0,1255.0,1255.0,232.0,18.11,GCN 4.0,2017,120,36880.112676056335
GeForce GTS 450,1.0,783.0,,,216.0,3.42,Fermi,2010,106,
GeForce GTS 450,1.0,810.0,,,199.0,3.42,Fermi,2010,106,
GeForce GTX 680,2.0,1006.0,,,256.0,14.49,Kepler,2012,195,
GeForce GTX 660 Ti,2.0,1019.0,,,264.0,11.49,Kepler,2012,150,
GeForce GTX 770,4.0,1137.0,1189.0,1189.0,260.0,15.38,Kepler,2013,230,
Radeon R9 290X,4.0,1040.0,,,276.0,19.3,GCN 2.0,2013,350,
Radeon R9 280X,3.0,1080.0,,,294.0,15.18,GCN 1.0,2013,200,
GeForce GTX 780 Ti,3.0,1080.0,1150.0,1150.0,292.0,24.73,Kepler,2013,250,
GeForce GTX 750 Ti,2.0,1085.0,1163.0,1163.0,166.0,10.14,Maxwell,2014,75,
GeForce GTX 980,4.0,1291.0,1393.0,1393.0,280.0,28.88,Maxwell 2.0,2014,220,24102.0
GeForce GTX 970,4.0,1076.0,1216.0,1216.0,170.0,25.05,Maxwell 2.0,2014,150,
GeForce GTX 970,4.0,1088.0,1228.0,1228.0,170.0,25.05,Maxwell 2.0,2014,150,
GeForce GTX 960,4.0,1216.0,1279.0,1279.0,173.0,15.84,Maxwell 2.0,2015,100,
GeForce GTX 960,4.0,1177.0,1240.0,1240.0,206.0,15.84,Maxwell 2.0,2015,100,
Radeon R9 390,8.0,1010.0,,,305.0,23.14,GCN 2.0,2015,300,20358.28571428572
GeForce GTX 960,4.0,1216.0,1279.0,1279.0,181.0,15.84,Maxwell 2.0,2015,100,
Radeon R9 380X,4.0,990.0,,,234.0,16.07,GCN 3.0,2015,250,
GeForce GTX 1080,8.0,1759.0,1898.0,1898.0,303.0,40.44,Pascal,2016,180,56019.25
Radeon RX 470,4.0,926.0,1226.0,1226.0,220.0,21.05,GCN 4.0,2016,120,14974.652173913044
Radeon RX 460,4.0,1090.0,1220.0,1220.0,178.0,10.66,GCN 4.0,2016,75,8020.285714285715
GeForce GTX 1080,8.0,1746.0,1885.0,1885.0,285.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1070,8.0,1620.0,1822.0,1822.0,302.0,35.12,Pascal,2016,150,33152.86486486487
GeForce GTX 1070,8.0,1506.0,1683.0,1683.0,303.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 580,8.0,1364.0,1450.0,1450.0,280.0,23.01,GCN 4.0,2017,185,21861.52857142857
Radeon RX 580,8.0,1257.0,1441.0,1441.0,279.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce GTX 1080 Ti,11.0,1582.0,1695.0,1695.0,300.0,48.29,Pascal,2017,250,61898.85294117647
Quadro K420,2.0,876.0,891.0,891.0,160.0,1.92,Kepler,2014,41,
GeForce GTX 1080 Ti,11.0,1531.0,1645.0,1645.0,281.0,48.29,Pascal,2017,250,61898.85294117647
GeForce GTX 960,2.0,1279.0,1342.0,1342.0,247.0,15.84,Maxwell 2.0,2015,100,
GeForce RTX 2080 Ti,11.0,1350.0,1635.0,1635.0,327.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 590,8.0,1469.0,1545.0,1545.0,278.0,24.41,GCN 4.0,2018,175,18825.8064516129
GeForce RTX 2080 Ti,11.0,1350.0,1545.0,1545.0,266.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 580,8.0,1257.0,1360.0,1360.0,237.0,23.01,GCN 4.0,2017,185,21861.52857142857
Radeon RX 580,8.0,1340.0,1355.0,1355.0,232.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce RTX 3080 Ti,12.0,1365.0,1695.0,1695.0,316.0,70.35,Ampere,2021,350,123265.19047619047
GeForce RTX 3080 Ti,12.0,1365.0,1680.0,1680.0,300.0,70.35,Ampere,2021,350,123265.19047619047
Radeon RX 6800 XT,16.0,1825.0,2250.0,2250.0,297.0,65.0,RDNA 2.0,2020,300,100541.47368421052
GeForce RTX 4070 Ti,12.0,2310.0,2760.0,2760.0,314.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4060,8.0,1830.0,2475.0,2475.0,199.0,51.51,Ada Lovelace,2023,115,44055.95714285714
GeForce RTX 4070 Ti,12.0,2310.0,2790.0,2790.0,329.0,82.62,Ada Lovelace,2023,285,95199.0447761194
FirePro W9000,6.0,975.0,,,279.0,15.96,GCN 1.0,2012,274,
Quadro K5200,8.0,667.0,,,267.0,15.86,Kepler,2014,150,
GeForce 9400 GT,0.5,,,,,0.44,Tesla,2008,50,
Radeon HD 7950,3.0,800.0,,,266.0,12.39,GCN 1.0,2012,200,
GeForce GTX 1660,6.0,1530.0,1830.0,1830.0,190.0,30.32,Turing,2019,120,24873.18918918919
Radeon HD 4870,1.0,750.0,,,241.0,3.59,TeraScale,2008,150,
GeForce 9800 GT,1.0,600.0,,,,1.24,Tesla,2008,125,
GeForce GTX 580,1.5,782.0,,,292.0,11.99,Fermi 2.0,2010,244,
GeForce GTX 570,1.25,742.0,,,292.0,10.2,Fermi 2.0,2010,219,
GeForce GTX 550 Ti,1.0,900.0,,,187.0,4.04,Fermi 2.0,2011,116,
GeForce GTX 550 Ti,2.0,900.0,,,209.0,4.04,Fermi 2.0,2011,116,
Radeon HD 6950,2.0,800.0,,,256.0,6.76,TeraScale 3,2010,200,
Radeon HD 7870,2.0,1100.0,,,280.0,12.01,GCN 1.0,2012,200,
GeForce GT 610,1.0,810.0,,,144.0,0.82,Fermi 2.0,2012,29,
GeForce 9800 GT,1.0,550.0,,,228.0,1.24,Tesla,2008,125,
GeForce GTX 660,2.0,980.0,,,259.0,10.42,Kepler,2012,140,
GeForce GTX 770,2.0,1046.0,,,267.0,15.38,Kepler,2013,230,
GeForce GT 630,2.0,902.0,,,136.0,1.76,Fermi,2012,65,
GeForce GTX 780,3.0,889.0,941.0,941.0,287.0,20.82,Kepler,2013,250,
Radeon R7 240,2.0,750.0,800.0,800.0,161.0,2.33,GCN 1.0,2013,30,
GeForce GT 740,2.0,1071.0,,,187.0,3.84,Kepler,2014,64,
Radeon R5 230,1.0,625.0,,,168.0,0.57,TeraScale 2,2014,19,
FirePro W5100,4.0,930.0,,,171.0,7.84,GCN 2.0,2014,50,
GeForce GTX 980,4.0,1152.0,1252.0,1252.0,278.0,28.88,Maxwell 2.0,2014,220,24102.0
GeForce GTX 750 Ti,2.0,1202.0,1281.0,1281.0,216.0,10.14,Maxwell,2014,75,
GeForce GTX 970,4.0,1228.0,1380.0,1380.0,308.0,25.05,Maxwell 2.0,2014,150,
GeForce GT 740,2.0,1033.0,,,173.0,3.84,Kepler,2014,64,
GeForce GTX 960,2.0,1127.0,1178.0,1178.0,241.0,15.84,Maxwell 2.0,2015,100,
GeForce GTX 960,2.0,1279.0,1342.0,1342.0,290.0,15.84,Maxwell 2.0,2015,100,
Radeon R9 390X,8.0,1050.0,,,295.0,24.45,GCN 2.0,2015,275,24379.0
GeForce GTX 970,4.0,1050.0,1178.0,1178.0,257.0,25.05,Maxwell 2.0,2014,150,
Radeon R7 360,2.0,1050.0,,,234.0,8.12,GCN 2.0,2015,80,
Radeon RX 480,8.0,1120.0,1328.0,1328.0,254.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce GTX 1070,8.0,1556.0,1746.0,1746.0,285.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 480,8.0,1208.0,1306.0,1306.0,240.0,22.38,GCN 4.0,2016,150,17570.833333333332
Radeon RX 470,8.0,926.0,1230.0,1230.0,246.0,21.05,GCN 4.0,2016,120,14974.652173913044
GeForce GTX 1050,2.0,1392.0,1531.0,1531.0,229.0,13.08,Pascal,2016,60,14607.861111111111
GeForce GTX 1080,8.0,1607.0,1847.0,1847.0,270.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1080 Ti,11.0,1531.0,1645.0,1645.0,314.0,48.29,Pascal,2017,250,61898.85294117647
Radeon RX 570,4.0,1168.0,1264.0,1264.0,242.0,18.11,GCN 4.0,2017,120,36880.112676056335
GeForce GTX 1080 Ti,11.0,1607.0,1721.0,1721.0,320.0,48.29,Pascal,2017,250,61898.85294117647
GeForce GTX 1070,8.0,1592.0,1797.0,1797.0,240.0,35.12,Pascal,2016,150,33152.86486486487
GeForce GTX 750 Ti,2.0,1020.0,1085.0,1085.0,173.0,10.14,Maxwell,2014,75,
Radeon RX 580,8.0,1340.0,1340.0,1340.0,267.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce RTX 2080,8.0,1515.0,1815.0,1815.0,292.0,48.79,Turing,2018,215,72597.38235294117
GeForce RTX 2080 Ti,11.0,1350.0,1545.0,1545.0,292.0,56.42,Turing,2018,250,93124.89393939394
GeForce RTX 2060,6.0,1365.0,1759.0,1759.0,300.0,36.76,Turing,2019,160,37083.05882352941
GeForce RTX 2070,8.0,1620.0,1665.0,1665.0,295.0,41.94,Turing,2018,175,43462.75
Radeon RX 5700,8.0,1465.0,1725.0,1725.0,268.0,37.42,RDNA 1.0,2019,180,44089.80555555556
GeForce RTX 2070,8.0,1410.0,1740.0,1740.0,267.0,41.94,Turing,2018,175,43462.75
Radeon RX 5700,8.0,1610.0,1750.0,1750.0,300.0,37.42,RDNA 1.0,2019,180,44089.80555555556
Radeon RX 5700,8.0,1490.0,1650.0,1650.0,254.0,37.42,RDNA 1.0,2019,180,44089.80555555556
Radeon RX 5700,8.0,1610.0,1750.0,1750.0,305.0,37.42,RDNA 1.0,2019,180,44089.80555555556
GeForce RTX 2080 Ti,11.0,1350.0,1575.0,1575.0,268.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 5500 XT,4.0,1717.0,1845.0,1845.0,180.0,23.72,RDNA 1.0,2019,130,26249.78260869565
Radeon RX 580,8.0,1257.0,1386.0,1386.0,266.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce RTX 3070,8.0,1500.0,1740.0,1740.0,329.0,58.04,Ampere,2020,220,57456.90140845071
Radeon RX 5600 XT,6.0,1247.0,1620.0,1620.0,175.0,35.28,RDNA 1.0,2020,150,31489.729166666668
GeForce RTX 4060,8.0,1830.0,2460.0,2460.0,260.0,51.51,Ada Lovelace,2023,115,44055.95714285714
Radeon HD 4670,1.0,750.0,,,167.0,0.99,TeraScale,2008,59,
GeForce GTX 680,2.0,1006.0,,,270.0,14.49,Kepler,2012,195,
GeForce GTX 980 Ti,6.0,1203.0,1304.0,1304.0,280.0,35.87,Maxwell 2.0,2015,250,
GeForce GTX 295,1.75,,,,,3.14,Tesla 2.0,2009,289,
GeForce GTX 580,1.5,772.0,,,266.0,11.99,Fermi 2.0,2010,244,
Radeon HD 6850,1.0,775.0,,,,5.11,TeraScale 2,2010,127,
Radeon HD 5770,1.0,850.0,,,215.0,4.43,TeraScale 2,2009,108,
GeForce GTX 560 Ti,1.0,850.0,,,228.0,7.96,Fermi 2.0,2011,160,
GeForce GTX 560 Ti,1.0,900.0,,,,7.96,Fermi 2.0,2011,160,
Radeon HD 5450,1.0,,,,,0.35,TeraScale 2,2010,19,
GeForce GTX 570,2.5,732.0,,,228.0,10.2,Fermi 2.0,2010,219,
GeForce GTX 590,3.0,630.0,,,279.0,8.69,Fermi 2.0,2011,365,
Radeon HD 5450,2.0,650.0,,,167.0,0.35,TeraScale 2,2010,19,
Radeon HD 7950,3.0,880.0,,,261.0,12.39,GCN 1.0,2012,200,
Radeon HD 7770,1.0,1020.0,,,226.0,5.65,GCN 1.0,2012,80,
Radeon HD 7850,2.0,975.0,,,241.0,10.06,GCN 1.0,2012,130,
GeForce GT 630,2.0,810.0,,,,1.76,Fermi,2012,65,
GeForce GTX 650,1.0,1100.0,,,187.0,4.55,Kepler,2012,65,
GeForce GTX 650 Ti,2.0,1032.0,,,187.0,6.57,Kepler,2012,110,
GeForce GTX 660 Ti,3.0,1032.0,,,285.0,11.49,Kepler,2012,150,
Radeon HD 7990,6.0,900.0,,,314.0,14.47,GCN 1.0,2013,375,
GeForce GTX 770,2.0,1137.0,,,292.0,15.38,Kepler,2013,230,
GeForce GTX 770,2.0,1150.0,,,279.0,15.38,Kepler,2013,230,
GeForce GTX 760,2.0,993.0,,,240.0,12.47,Kepler,2013,170,
GeForce GTX 770,4.0,1111.0,1163.0,1163.0,266.0,15.38,Kepler,2013,230,
GeForce GTX 770,2.0,1072.0,1124.0,1124.0,267.0,15.38,Kepler,2013,230,
Radeon R9 290X,4.0,772.0,,,292.0,19.3,GCN 2.0,2013,350,
Radeon R9 270X,2.0,1000.0,,,290.0,12.68,GCN 1.0,2013,180,
GeForce GTX 780 Ti,3.0,875.0,928.0,928.0,266.0,24.73,Kepler,2013,250,
Radeon R9 270,2.0,900.0,975.0,975.0,256.0,11.19,GCN 1.0,2013,150,
Radeon R9 280,3.0,874.0,980.0,980.0,284.0,14.45,GCN 1.0,2014,200,
GeForce GTX 750 Ti,2.0,1176.0,1255.0,1255.0,229.0,10.14,Maxwell,2014,75,
Radeon R9 270X,2.0,1030.0,1080.0,1080.0,170.0,12.68,GCN 1.0,2013,180,
GeForce GTX 750 Ti,2.0,1033.0,1111.0,1111.0,161.0,10.14,Maxwell,2014,75,
GeForce GT 740,4.0,1006.0,,,165.0,3.84,Kepler,2014,64,
GeForce GT 740,2.0,992.0,,,152.0,3.84,Kepler,2014,64,
Radeon R9 380,2.0,990.0,,,271.0,15.9,GCN 3.0,2015,220,
GeForce GTX 950,2.0,1165.0,1355.0,1355.0,221.0,13.88,Maxwell 2.0,2015,90,
GeForce GTX 950,2.0,1089.0,1266.0,1266.0,208.0,13.88,Maxwell 2.0,2015,90,
GeForce GT 730,4.0,700.0,,,145.0,2.16,Fermi,2014,49,
GeForce GTX 960,2.0,1203.0,1266.0,1266.0,247.0,15.84,Maxwell 2.0,2015,100,
GeForce GTX 980 Ti,6.0,1203.0,1304.0,1304.0,330.0,35.87,Maxwell 2.0,2015,250,
GeForce GTX 1080,8.0,1607.0,1733.0,1733.0,269.0,40.44,Pascal,2016,180,56019.25
Radeon R9 390X,8.0,1080.0,,,308.0,24.45,GCN 2.0,2015,275,24379.0
GeForce GTX 1070,8.0,1506.0,1797.0,1797.0,270.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 480,8.0,1120.0,1266.0,1266.0,240.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce GTX 1070,8.0,1657.0,1860.0,1860.0,330.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 480,4.0,1202.0,1306.0,1306.0,230.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce GTX 1050,2.0,1354.0,1455.0,1455.0,160.0,13.08,Pascal,2016,60,14607.861111111111
Radeon RX 470,4.0,1140.0,1216.0,1216.0,230.0,21.05,GCN 4.0,2016,120,14974.652173913044
Radeon RX 480,8.0,1202.0,1306.0,1306.0,230.0,22.38,GCN 4.0,2016,150,17570.833333333332
Radeon R9 380,4.0,970.0,,,221.0,15.9,GCN 3.0,2015,220,
Radeon RX 570,8.0,1168.0,1244.0,1244.0,170.0,18.11,GCN 4.0,2017,120,36880.112676056335
GeForce GTX 1070 Ti,8.0,1607.0,1683.0,1683.0,285.0,38.18,Pascal,2017,180,34830.5
GeForce GT 730,1.0,400.0,,,127.0,2.16,Fermi,2014,49,
GeForce RTX 2080,8.0,1515.0,,,281.0,48.79,Turing,2018,215,72597.38235294117
Radeon RX 570,8.0,1328.0,,,243.0,18.11,GCN 4.0,2017,120,36880.112676056335
Radeon R7 240,4.0,700.0,,,150.0,2.33,GCN 1.0,2013,30,
GeForce RTX 2080,8.0,1515.0,1740.0,1740.0,270.0,48.79,Turing,2018,215,72597.38235294117
GeForce GTX 1660 Ti,6.0,1500.0,1800.0,1800.0,243.0,33.55,Turing,2019,120,27207.916666666668
GeForce GTX 1660,6.0,1530.0,1815.0,1815.0,205.0,30.32,Turing,2019,120,24873.18918918919
Radeon RX 5700,8.0,1465.0,1725.0,1725.0,267.0,37.42,RDNA 1.0,2019,180,44089.80555555556
GeForce RTX 2080 Ti,11.0,1350.0,1545.0,1545.0,302.0,56.42,Turing,2018,250,93124.89393939394
Radeon RX 5700 XT,8.0,1605.0,1755.0,1755.0,293.0,42.89,RDNA 1.0,2019,225,45489.32876712329
Radeon RX 5700,8.0,1610.0,1750.0,1750.0,297.0,37.42,RDNA 1.0,2019,180,44089.80555555556
GeForce GTX 1050,3.0,1392.0,1556.0,1556.0,172.0,13.08,Pascal,2016,60,14607.861111111111
GeForce RTX 2080,8.0,1710.0,,,255.0,48.79,Turing,2018,215,72597.38235294117
GeForce RTX 2080,8.0,1515.0,1710.0,1710.0,302.0,48.79,Turing,2018,215,72597.38235294117
GeForce GTX 1650 SUPER,4.0,1530.0,1725.0,1725.0,188.0,26.43,Turing,2019,100,21592.88888888889
GeForce GTX 1650 SUPER,4.0,1530.0,1755.0,1755.0,243.0,26.43,Turing,2019,100,21592.88888888889
GeForce RTX 3060 Ti,8.0,1410.0,1695.0,1695.0,275.0,53.15,Ampere,2020,200,47190.90540540541
Radeon RX 6750 XT,12.0,2150.0,2150.0,2150.0,214.0,54.07,RDNA 2.0,2022,250,45807.4
GeForce GTX 1630,4.0,1740.0,1800.0,1800.0,181.0,12.98,Turing,2022,75,
FirePro W5000,2.0,825.0,,,183.0,7.77,GCN 1.0,2012,75,
GeForce GTX 1630,4.0,1740.0,1815.0,1815.0,181.0,12.98,Turing,2022,75,
GeForce GTX 1630,4.0,1740.0,1815.0,1815.0,153.0,12.98,Turing,2022,75,
GeForce GTX 470,1.25,607.0,,,241.0,8.07,Fermi,2010,215,
GeForce GTX 660,2.0,993.0,,,191.0,10.42,Kepler,2012,140,
Quadro K2000,2.0,954.0,,,202.0,4.11,Kepler,2013,51,
GeForce GTX 1630,4.0,1740.0,1800.0,1800.0,167.0,12.98,Turing,2022,75,
GeForce GTS 250,0.5,675.0,,,241.0,1.54,Tesla,2009,150,
GeForce 8400 GS,0.5,567.0,,,,0.4,Tesla,2007,40,
Radeon HD 6670,1.0,800.0,,,,1.88,TeraScale 2,2011,66,
Radeon HD 7950,3.0,900.0,,,289.0,12.39,GCN 1.0,2012,200,
Radeon HD 7970,3.0,1000.0,,,279.0,13.64,GCN 1.0,2011,250,
Quadro 5000,2.5,,,,,5.04,Fermi,2011,152,
GeForce GT 640,2.0,900.0,,,144.0,3.06,Kepler,2012,65,
GeForce GTX 660 Ti,2.0,1032.0,,,266.0,11.49,Kepler,2012,150,
GeForce GTX 660 Ti,2.0,915.0,,,254.0,11.49,Kepler,2012,150,
GeForce GTX 660,2.0,993.0,1059.0,1059.0,195.0,10.42,Kepler,2012,140,
GeForce GTX 750,1.0,1020.0,1085.0,1085.0,170.0,8.69,Maxwell,2014,55,
Radeon R9 290,4.0,947.0,,,294.0,21.04,GCN 2.0,2013,275,
Radeon R9 280,3.0,1000.0,,,294.0,14.45,GCN 1.0,2014,200,
GeForce GT 730,2.0,700.0,,,152.0,2.16,Fermi,2014,49,
Radeon R9 290X,4.0,1050.0,,,308.0,19.3,GCN 2.0,2013,350,
GeForce GTX 750,1.0,1033.0,1111.0,1111.0,145.0,8.69,Maxwell,2014,55,
Radeon R5 230,1.0,625.0,,,172.0,0.57,TeraScale 2,2014,19,
FirePro V5900,2.0,600.0,,,230.0,3.29,TeraScale 3,2011,75,
Radeon R9 290X,4.0,1000.0,,,287.0,19.3,GCN 2.0,2013,350,
Radeon R9 380,4.0,990.0,,,234.0,15.9,GCN 3.0,2015,220,
Radeon R9 390,8.0,1000.0,1025.0,1025.0,234.0,23.14,GCN 2.0,2015,300,20358.28571428572
Radeon R7 370,2.0,970.0,1020.0,1020.0,255.0,11.7,GCN 1.0,2015,100,
Radeon R9 390,8.0,1010.0,,,308.0,23.14,GCN 2.0,2015,300,20358.28571428572
GeForce GTX 980 Ti,6.0,1000.0,1076.0,1076.0,269.0,35.87,Maxwell 2.0,2015,250,
GeForce GTX 950,2.0,1102.0,1279.0,1279.0,283.0,13.88,Maxwell 2.0,2015,90,
GeForce GTX 970,4.0,1050.0,1178.0,1178.0,245.0,25.05,Maxwell 2.0,2014,150,
GeForce GTX 970,4.0,1241.0,1342.0,1342.0,279.0,25.05,Maxwell 2.0,2014,150,
GeForce 9600 GT,0.5,650.0,,,,1.25,Tesla,2008,95,
Radeon R7 360,2.0,1060.0,,,211.0,8.12,GCN 2.0,2015,80,
Radeon RX 480,8.0,1120.0,1288.0,1288.0,254.0,22.38,GCN 4.0,2016,150,17570.833333333332
GeForce GTX 1080,8.0,1607.0,1733.0,1733.0,285.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1080,8.0,1645.0,1784.0,1784.0,285.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1080,8.0,1784.0,1936.0,1936.0,264.0,40.44,Pascal,2016,180,56019.25
Radeon RX 460,2.0,1090.0,1212.0,1212.0,191.0,10.66,GCN 4.0,2016,75,8020.285714285715
GeForce GTX 1070,8.0,1518.0,1708.0,1708.0,296.0,35.12,Pascal,2016,150,33152.86486486487
GeForce GT 710,1.0,954.0,,,147.0,1.63,Kepler 2.0,2014,19,
GeForce GTX 1050 Ti,4.0,1290.0,1392.0,1392.0,178.0,16.43,Pascal,2016,70,15100.314285714288
Radeon RX 580,4.0,1257.0,1366.0,1366.0,276.0,23.01,GCN 4.0,2017,185,21861.52857142857
GeForce GTX 1080,8.0,1733.0,1873.0,1873.0,287.0,40.44,Pascal,2016,180,56019.25
GeForce GTX 1080,8.0,1620.0,1759.0,1759.0,252.0,40.44,Pascal,2016,180,56019.25
GeForce GT 710,2.0,954.0,,,147.0,1.63,Kepler 2.0,2014,19,
GeForce RTX 2080,8.0,1710.0,,,272.0,48.79,Turing,2018,215,72597.38235294117
GeForce RTX 2070,8.0,1410.0,1710.0,1710.0,314.0,41.94,Turing,2018,175,43462.75
GeForce RTX 2080,8.0,1515.0,1740.0,1740.0,268.0,48.79,Turing,2018,215,72597.38235294117
Radeon RX 5500 XT,8.0,1607.0,1845.0,1845.0,215.0,23.72,RDNA 1.0,2019,130,26249.78260869565
Radeon RX 5500 XT,8.0,1737.0,1845.0,1845.0,227.0,23.72,RDNA 1.0,2019,130,26249.78260869565
Radeon RX 5600 XT,6.0,1280.0,1620.0,1620.0,240.0,35.28,RDNA 1.0,2020,150,31489.729166666668
Radeon RX 5600 XT,6.0,1130.0,1560.0,1560.0,231.0,35.28,RDNA 1.0,2020,150,31489.729166666668
GeForce RTX 2080 Ti,11.0,1350.0,1575.0,1575.0,292.0,56.42,Turing,2018,250,93124.89393939394
GeForce GTX 1050 Ti,4.0,1290.0,1392.0,1392.0,211.0,16.43,Pascal,2016,70,15100.314285714288
GeForce RTX 3070 Ti,8.0,1575.0,1815.0,1815.0,299.0,61.17,Ampere,2021,290,63590.19047619047
GeForce RTX 3080 Ti,12.0,1365.0,1665.0,1665.0,300.0,70.35,Ampere,2021,350,123265.19047619047
GeForce RTX 3080 Ti,12.0,1365.0,1665.0,1665.0,317.0,70.35,Ampere,2021,350,123265.19047619047
GeForce RTX 4070,12.0,1920.0,2505.0,2505.0,299.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 4080,16.0,2205.0,2625.0,2625.0,344.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 4060,8.0,1830.0,2490.0,2490.0,237.0,51.51,Ada Lovelace,2023,115,44055.95714285714
FirePro W7100,8.0,920.0,,,241.0,15.06,GCN 3.0,2014,150,
GeForce GTX 1630,4.0,1740.0,1815.0,1815.0,200.0,12.98,Turing,2022,75,
Radeon RX 5500 XT,4.0,1607.0,1845.0,1845.0,281.0,23.72,RDNA 1.0,2019,130,26249.78260869565
GeForce RTX 4090,24.0,2235.0,2610.0,2610.0,344.0,100.0,Ada Lovelace,2022,450,260000.0
GeForce GTX 780 Ti,3.0,1020.0,1085.0,1085.0,279.0,24.73,Kepler,2013,250,
GeForce RTX 3090 Ti,24.0,1560.0,1875.0,1875.0,320.0,77.01,Ampere,2022,450,122757.8947368421
Radeon RX 6800,16.0,1700.0,2105.0,2105.0,324.0,57.54,RDNA 2.0,2020,250,90287.65853658535
GeForce GTX 285,2.0,,,,,3.92,Tesla 2.0,2008,204,
GeForce GTX 460,1.0,720.0,,,209.0,5.89,Fermi,2010,160,
Radeon HD 5850,1.0,725.0,,,,5.17,TeraScale 2,2009,151,
Radeon HD 5450,1.0,650.0,,,,0.35,TeraScale 2,2010,19,
GeForce GTX 480,1.5,820.0,,,,10.68,Fermi,2010,250,
GeForce GTS 450,1.0,810.0,,,187.0,3.42,Fermi,2010,106,
Radeon HD 6970,2.0,890.0,,,297.0,7.37,TeraScale 3,2010,250,
Radeon HD 6950,2.0,800.0,,,245.0,6.76,TeraScale 3,2010,200,
Radeon HD 6450,2.0,625.0,,,182.0,0.51,TeraScale 2,2011,18,
Radeon HD 7750,1.0,820.0,,,198.0,4.4,GCN 1.0,2012,55,
Radeon HD 7870,2.0,1050.0,,,270.0,12.01,GCN 1.0,2012,200,
Quadro NVS 450,0.5,,,,,0.17,Tesla,2008,35,
GeForce GTX 670,4.0,967.0,,,241.0,13.84,Kepler,2012,170,
GeForce GTX 670,4.0,1006.0,,,254.0,13.84,Kepler,2012,170,
Radeon HD 7850,2.0,860.0,,,,10.06,GCN 1.0,2012,130,
GeForce GTX 680,2.0,1137.0,,,303.0,14.49,Kepler,2012,195,
GeForce GTX 650,1.0,1058.0,,,170.0,4.55,Kepler,2012,65,
GeForce GTX 670,4.0,980.0,,,294.0,13.84,Kepler,2012,170,
Radeon HD 7750,2.0,800.0,,,167.0,4.4,GCN 1.0,2012,55,
GeForce GTX 650,1.0,1137.0,,,245.0,4.55,Kepler,2012,65,
GeForce GTX 650,2.0,1071.0,,,197.0,4.55,Kepler,2012,65,
Radeon HD 7990,6.0,1050.0,,,299.0,14.47,GCN 1.0,2013,375,
GeForce GTX 650,2.0,1071.0,,,145.0,4.55,Kepler,2012,65,
GeForce GTX 760,4.0,1085.0,1150.0,1150.0,241.0,12.47,Kepler,2013,170,
Radeon HD 7790,2.0,1075.0,,,215.0,8.03,GCN 2.0,2013,85,
Radeon R9 280X,3.0,1000.0,1050.0,1050.0,269.0,15.18,GCN 1.0,2013,200,
GeForce GTX 660,2.0,1033.0,1098.0,1098.0,260.0,10.42,Kepler,2012,140,
Radeon R9 290X,4.0,772.0,1000.0,1000.0,276.0,19.3,GCN 2.0,2013,350,
Radeon R9 280X,3.0,950.0,1070.0,1070.0,276.0,15.18,GCN 1.0,2013,200,
Radeon R9 280X,3.0,850.0,1000.0,1000.0,309.0,15.18,GCN 1.0,2013,200,
Radeon R9 270,2.0,930.0,955.0,955.0,198.0,11.19,GCN 1.0,2013,150,
Radeon R9 270X,4.0,1020.0,,,228.0,12.68,GCN 1.0,2013,180,
Radeon R9 270X,2.0,1050.0,1100.0,1100.0,264.0,12.68,GCN 1.0,2013,180,
Radeon R9 280,3.0,933.0,1000.0,1000.0,268.0,14.45,GCN 1.0,2014,200,
Radeon R7 265,2.0,900.0,925.0,925.0,228.0,10.44,GCN 1.0,2014,150,
