gpu,memory,core_clock,boost_clock,boost_clock,length,rating,architecture,year,power_consumption,average_price
GeForce RTX 4070,12.0,1920.0,2475.0,2475.0,269.0,70.04,Ada Lovelace,2023,200,80861.27692307692
GeForce RTX 4080,16.0,2205.0,2625.0,2625.0,310.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 3090,24.0,1395.0,1710.0,1710.0,318.0,69.44,Ampere,2020,350,156024.11111111112
Quadro RTX 6000,24.0,1440.0,1770.0,1770.0,267.0,48.58,Turing,2018,260,
Radeon RX 6800,16.0,1815.0,2155.0,2155.0,286.0,57.54,RDNA 2.0,2020,250,90287.65853658535
Radeon RX 7600,8.0,1720.0,2725.0,2725.0,303.0,43.17,RDNA 3.0,2023,165,29762.666666666668
Radeon RX 6500 XT,4.0,2310.0,2825.0,2825.0,172.0,24.86,RDNA 2.0,2022,107,18785.066666666666
Radeon RX 6700,10.0,1941.0,2495.0,2495.0,260.0,50.09,RDNA 2.0,2021,175,67413.57142857143
GeForce RTX 4090,24.0,2230.0,2565.0,2565.0,332.0,100.0,Ada Lovelace,2022,450,260000.0
Radeon RX 6800 XT,16.0,1825.0,2310.0,2310.0,324.0,65.0,RDNA 2.0,2020,300,100541.47368421052
GeForce RTX 3090,24.0,1395.0,1890.0,1890.0,318.0,69.44,Ampere,2020,350,156024.11111111112
Radeon RX 6750 XT,12.0,2150.0,2623.0,2623.0,327.0,54.07,RDNA 2.0,2022,250,45807.4
GeForce RTX 4080,16.0,2205.0,2505.0,2505.0,342.0,89.97,Ada Lovelace,2022,320,131353.42253521126
Radeon RX 6800,16.0,1700.0,2155.0,2155.0,300.0,57.54,RDNA 2.0,2020,250,90287.65853658535
GeForce GTX 1070,8.0,1506.0,1683.0,1683.0,267.0,35.12,Pascal,2016,150,33152.86486486487
Radeon RX 6750 XT,12.0,2593.0,2713.0,2713.0,320.0,54.07,RDNA 2.0,2022,250,45807.4
Radeon RX 7900 XT,20.0,2000.0,,,353.0,75.18,RDNA 3.0,2022,300,113740.7
Radeon RX 6600 XT,8.0,1968.0,2589.0,2589.0,200.0,42.95,RDNA 2.0,2021,160,38651.90625
GeForce RTX 4080,16.0,2205.0,2625.0,2625.0,300.0,89.97,Ada Lovelace,2022,320,131353.42253521126
GeForce RTX 4070 Ti,12.0,2310.0,2625.0,2625.0,320.0,82.62,Ada Lovelace,2023,285,95199.0447761194
GeForce RTX 4090,24.0,2235.0,2520.0,2520.0,331.0,100.0,Ada Lovelace,2022,450,260000.0
